Yr,timing,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1980,B,1.15E+07,697352,68780.3,2.16E+06,67950.5,358310,70205.3,666670,51951.4,64091.1,396848,33641.5,71675.9,79753.4,20341,20927.3,8393.24,4379.97,2547.69,1524.19,6714.07
1981,B,187027,9.39E+06,571093,55929.3,1.73E+06,54079.3,283322,54325.7,515878,40200.7,49594.5,307086,26032.2,55463.7,61714.2,15740.1,16193.8,6494.79,3389.28,1971.43,6374.87
1982,B,191830,153268,7.69E+06,462190,44413,1.36E+06,41836.6,211681,40588.9,385432,30035.5,37054,229436,19449.7,41439.1,46109,11760,12099,4852.51,2532.26,6235.85
1983,B,354693,157204,125496,6.24E+06,369579,35082.7,1.06E+06,31901.5,161412,30950.1,293902,22902.8,28254.6,174951,14830.9,31598.4,35159.3,8967.34,9225.8,3700.17,6685.91
1984,B,9.53E+06,290670,128738,102014,5.01E+06,293757,27697,820004,24623.8,124589,23889.4,226854,17678,21808.8,135039,11447.5,24389.8,27138.4,6921.6,7121.1,8016.68
1985,B,101068,7.81E+06,238022,104577,81770.4,3.97E+06,231182,21270.2,629730,18910,95679.1,18346.1,174214,13576,16748.3,103704,8791.19,18730.4,20841.2,5315.51,11625.2
1986,B,143190,82824.6,6.40E+06,193679,84184,65242.7,3.15E+06,179780,16540.8,489712,14705.5,74405.3,14266.9,135479,10557.4,13024.4,80646.1,6836.51,14565.7,16207.2,13174
1987,B,4.59E+06,117344,67812.1,5.19E+06,154540,66285.6,50918.2,2.39E+06,136227,12533.7,371077,11143,56380.2,10810.7,102658,7999.82,9869.16,61109.2,5180.33,11037.1,22263.5
1988,B,1.61E+06,3.76E+06,96056.2,54866.3,4.12E+06,120690,51217.1,37968.5,1.78E+06,101581,9346.13,276703,8309.08,42041.4,8061.26,76549.9,5965.28,7359.2,45567.7,3862.85,24831.5
1989,B,116566,1.32E+06,3.08E+06,77660.3,43457.9,3.21E+06,92933.1,37980.7,28156.1,1.32E+06,75329.1,6930.75,205193,6161.71,31176.4,5977.94,56766.6,4423.64,5457.32,33791.4,21278.7
1990,B,3.10E+06,95525.8,1.08E+06,2.48E+06,60721.5,33194.1,2.41E+06,66347.6,27115.5,20101.4,942378,53779.6,4948.06,146493,4399.02,22257.7,4267.82,40527.3,3158.16,3896.13,39316.1
1991,B,979659,2.54E+06,78187.8,870934,1.96E+06,47193.8,25497.8,1.78E+06,49009.3,20029.5,14848.4,696111,39725.6,3655,108211,3249.45,16441.2,3152.53,29936.5,2332.85,31919.8
1992,B,120712,802827,2.08E+06,61347.2,600359,1.48E+06,35196.8,18516.9,1.29E+06,35591.4,14545.8,10783.2,505528,28849.4,2654.33,78584.6,2359.8,11939.9,2289.42,21740.4,24874.8
1993,B,2.42E+06,98922.7,656949,1.68E+06,44254.4,425744,1.11E+06,24577.2,12930,903068,24852.7,10157,7529.67,353000,20145,1853.46,54874,1647.8,8337.39,1598.66,32550.5
1994,B,2.50E+06,1.98E+06,80998.2,533268,1.28E+06,32246.9,305397,811541,17946.4,9441.55,659424,18147.6,7416.71,5498.2,257762,14709.9,1353.41,40069.2,1203.23,6087.99,24935.8
1995,B,1.02E+06,2.05E+06,1.62E+06,65717.1,424430,909589,22842.7,190783,506974,11211.2,5898.18,411945,11336.9,4633.26,3434.75,161025,9189.37,845.48,25031.5,751.665,19380.7
1996,B,1.44E+06,838568,1.68E+06,1.32E+06,52614.5,331403,634656,15110.6,126204,335367,7416.29,3901.69,272505,7499.43,3064.93,2272.11,106519,6078.84,559.291,16558.5,13317.7
1997,B,746111,1.18E+06,685221,1.28E+06,982408,39112.9,244376,392872,9353.96,78124.5,207603,4590.92,2415.27,168689,4642.39,1897.29,1406.51,65938.9,3762.99,346.219,18494.3
1998,B,1.50E+06,611436,965156,555631,897383,663871,27915.6,151047,242831,5781.6,48288.1,128318,2837.61,1492.86,104265,2869.42,1172.7,869.353,40756.3,2325.88,11645.2
1999,B,9.78E+06,1.23E+06,500115,767999,348726,620846,384786,17235.3,93257.4,149925,3569.6,29813.4,79224,1751.96,921.7,64374.1,1771.6,724.032,536.744,25163.2,8625.82
2000,B,295616,8.02E+06,1.01E+06,363758,505377,196200,386705,230113,10307.2,55770.4,89659.5,2134.72,17829.2,47378.1,1047.72,551.202,38497.5,1059.46,432.991,320.987,20206.7
2001,B,927183,242256,6.57E+06,813270,266002,367618,132620,238633,142001,6360.47,34415.5,55328.1,1317.32,11002.3,29236.7,646.539,340.142,23756.5,653.786,267.195,12667.5
2002,B,38698.9,759824,198371,5.33E+06,610521,175090,248489,86512.4,155668,92631.7,4149.14,22450.4,36092.3,859.328,7177.14,19072,421.759,221.886,15497.1,426.486,8437.72
2003,B,1.32E+06,31713.6,622427,161800,4.24E+06,453665,121423,178400,62110.7,111760,66503.9,2978.83,16118,25912.1,616.946,5152.75,13692.6,302.797,159.301,11126,6363.96
2004,B,39122.4,1.08E+06,25982.4,508547,130170,3.26E+06,331045,87323.7,128300,44668.2,80374.7,47827.7,2142.29,11591.6,18635.3,443.69,3705.71,9847.3,217.763,114.564,12578.3
2005,B,2.10E+06,32060.7,887617,20911.3,384663,79005.7,2.30E+06,221298,58374.4,85766.5,29860,53729.1,31972,1432.09,7748.79,12457.4,296.599,2477.21,6582.75,145.571,8484.95
2006,B,1.61E+06,1.72E+06,26257.2,722205,16454.4,271076,46841.5,1.48E+06,142670,37633.7,55293.3,19250.6,34638.9,20612.2,923.26,4995.61,8031.21,191.216,1597.04,4243.87,5564.06
2007,B,21821.2,1.32E+06,1.40E+06,20097.8,517594,11000.1,161939,28039,886787,85401.2,22527.3,33098.1,11523.3,20734.6,12338.3,552.656,2990.33,4807.42,114.461,955.978,5870.96
2008,B,4.22E+06,17882.4,1.08E+06,1.09E+06,13267.7,339003,7345.08,94289.6,16325.8,516336,49725.3,13116.6,19271.6,6709.47,12072.8,7184.05,321.787,1741.14,2799.14,66.6452,3975.02
2009,B,1.11E+06,3.46E+06,14586.1,838956,719063,8941.66,197893,3922.3,50351,8718.05,275725,26553.5,7004.32,10291.1,3582.88,6446.93,3836.31,171.835,929.774,1494.75,2158.26
2010,B,1.18E+07,912570,2.83E+06,11710.9,596113,497396,6296.38,123599,2449.78,31448.1,5445.09,172212,16584.7,4374.74,6427.57,2237.79,4026.61,2396.07,107.324,580.715,2281.59
2011,B,337135,9.68E+06,747127,2.21E+06,8290.93,318302,306739,4192.04,82290.7,1631.03,20937.7,3625.27,114656,11041.9,2912.64,4279.39,1489.89,2680.86,1595.27,71.4551,1905.68
2012,B,1.15E+06,276281,7.92E+06,592333,1.26E+06,5561.29,215989,215049,2938.97,57692.6,1143.49,14679,2541.61,80383.4,7741.25,2042,3000.21,1044.53,1879.5,1118.42,1386.14
2013,B,308235,941192,225838,6.28E+06,438451,838198,3994.31,154824,154151,2106.7,41354.9,819.668,10522.2,1821.87,57620.1,5549.05,1463.74,2150.59,748.739,1347.26,1795.3
2014,B,6.54E+06,252598,770698,182935,4.73E+06,328082,614183,2665.09,103302,102853,1405.64,27593,546.902,7020.64,1215.59,38445.5,3702.46,976.64,1434.93,499.576,2096.79
2015,B,43979.5,5.36E+06,206702,614474,132698,3.54E+06,240648,421494,1828.97,70893.1,70584.6,964.643,18936.2,375.321,4818.04,834.221,26383.9,2540.88,670.236,984.743,1781.8
2016,B,4.52E+06,36041.1,4.38E+06,166528,474854,99140.5,2.64E+06,182325,319341,1385.7,53711.5,53477.8,730.854,14346.8,284.359,3650.34,632.041,19989.5,1925.07,507.799,2096.05
2017,B,1.81E+06,3.70E+06,29173.3,3.17E+06,124946,345194,70371.1,1.88E+06,130246,228125,989.893,38369.5,38202.6,522.095,10248.8,203.135,2607.67,451.506,14279.8,1375.2,1860.09
2018,B,547256,1.48E+06,3.00E+06,21723.7,2.28E+06,86271.1,242214,45766.1,1.23E+06,84706.1,148362,643.781,24953.8,24845.2,339.546,6665.37,132.11,1695.91,293.639,9286.9,2104.08
2019,B,738207,448475,1.17E+06,2.24E+06,16056.8,1.66E+06,63703,159685,30172.3,807855,55844.3,97810.9,424.426,16451.3,16379.7,223.853,4394.28,87.0961,1118.06,193.588,7509.75
2020,B,4.24E+06,604959,366678,879371,1.67E+06,11715.5,1.13E+06,41133.1,103109,19482.3,521633,36058.7,63156.6,274.052,10622.6,10576.4,144.542,2837.39,56.2381,721.935,4974.05
2021,B,783935,3.48E+06,495532,298934,691981,1.13E+06,8376.12,730339,26564.6,66589.8,12582.1,336882,23287.5,40787.9,176.989,6860.31,6830.46,93.3484,1832.45,36.3197,3678.59
2022,B,773497,642432,2.85E+06,402721,238526,516545,737705,5449.88,475192,17284.2,43326.3,8186.46,219191,15151.9,26538.5,115.157,4463.63,4444.21,60.7367,1192.28,2417.09
2023,B,777745,633878,517667,2.12E+06,290715,156300,327209,417030,3080.86,268630,9770.87,24492.7,4627.87,123910,8565.49,15002.4,65.0992,2523.33,2512.35,34.335,2040.4
2024,B,766539,637360,510723,385442,1.53E+06,190247,98859.1,184570,235235,1737.83,151527,5511.48,13815.7,2610.46,69894.3,4831.56,8462.44,36.7207,1423.34,1417.15,1170.3
2025,B,741898,628176,512886,377590,275428,984567,118052,54247.5,101280,129082,953.609,83148.1,3024.34,7581.15,1432.45,38353.5,2651.25,4643.64,20.1499,781.036,1419.82
1980,M,1.04E+07,631073,62022.8,1.93E+06,60619.5,318618,61757.2,586447,45699.9,56378.8,349094,29593.3,63050.9,70156.3,17893.3,18409,7383.25,3852.91,2241.11,1340.78,5906.14
1981,M,169308,8.50E+06,513764,49839.6,1.53E+06,47565.7,244895,46957.6,445910,34748.3,42868.1,265437,22501.5,47941.3,53344,13605.3,13997.4,5613.92,2929.6,1704.05,5510.26
1982,M,173657,138689,6.93E+06,413299,39473.2,1.20E+06,36532.9,184845,35443.3,336570,26227.8,32356.5,200350,16984,36185.7,40263.7,10269.2,10565.2,4237.34,2211.24,5445.31
1983,M,321090,142261,113147,5.59E+06,329494,31171.9,933350,28027.4,141810,27191.5,258211,20121.5,24823.4,153705,13029.8,27761.1,30889.6,7878.35,8105.42,3250.82,5873.97
1984,M,8.63E+06,263032,116030,91332.9,4.46E+06,260598,24271.8,718596,21578.6,109181,20935,198799,15491.8,19111.8,118339,10031.8,21373.6,23782.2,6065.63,6240.46,7025.28
1985,M,91492.5,7.07E+06,214709,93828.1,73040.5,3.54E+06,203867,18757,555325,16675.8,84374.3,16178.4,153630,11971.9,14769.4,91451.4,7752.49,16517.3,18378.7,4687.47,10251.6
1986,M,129624,74943.4,5.76E+06,173006,74700.7,57637.1,2.74E+06,156496,14398.6,426287,12800.9,64768.7,12419.1,117932,9190.07,11337.5,70201.3,5951.08,12679.3,14108.1,11467.8
1987,M,4.15E+06,106168,60996.7,4.62E+06,136570,58266.3,43969.2,2.06E+06,117636,10823.2,320434,9622.27,48685.8,9335.29,88648,6908.05,8522.27,52769.4,4473.35,9530.84,19225.1
1988,M,1.46E+06,3.40E+06,86369.8,48830,3.63E+06,105906,44105.1,32696.2,1.53E+06,87475.9,8048.33,238281,7155.29,36203.6,6941.88,65920.2,5136.95,6337.31,39240.3,3326.46,21383.4
1989,M,105523,1.19E+06,2.76E+06,68670.6,37980.9,2.78E+06,78523.1,32091.5,23790.3,1.12E+06,63648.8,5856.08,173377,5206.29,26342.3,5051.02,47964.5,3737.72,4611.12,28551.8,17979.3
1990,M,2.81E+06,86423.1,968864,2.20E+06,53532,29092.6,2.07E+06,57023.2,23304.7,17276.4,809938,46221.5,4252.67,125905,3780.79,19129.7,3668.03,34831.6,2714.32,3348.58,33790.7
1991,M,886846,2.30E+06,69257.5,723099,1.70E+06,40756.2,21728.8,1.52E+06,41764.9,17068.8,12653.6,593214,33853.5,3114.74,92215.5,2769.12,14010.9,2686.54,25511.4,1988.02,27201.5
1992,M,109275,726234,1.87E+06,52104.5,505568,1.28E+06,29411.6,15473.3,1.08E+06,29741.3,12154.9,9010.75,422435,24107.5,2218.04,65667.7,1971.93,9977.35,1913.11,18166.9,20786.2
1993,M,2.19E+06,89512.9,591886,1.47E+06,37776.6,360584,949704,21001.7,11048.9,771689,21237.2,8679.39,6434.25,301645,17214.3,1583.82,46890.9,1408.08,7124.46,1366.08,27815
1994,M,2.26E+06,1.79E+06,72958.7,475747,1.08E+06,27140.5,241381,641428,14184.5,7462.44,521197,14343.5,5862.04,4345.68,203731,11626.5,1069.71,31670,951.014,4811.85,19708.9
1995,M,926328,1.85E+06,1.46E+06,58802,375043,759787,18578.7,155170,412337,9118.42,4797.17,335048,9220.63,3768.37,2793.59,130967,7474,687.655,20358.9,611.353,15763
1996,M,1.30E+06,758027,1.47E+06,1.14E+06,45364.2,284582,499338,11888.8,99295.8,263862,5835.03,3069.79,214403,5900.44,2411.45,1787.67,83807.9,4782.74,440.042,13028,10478.2
1997,M,675425,1.07E+06,617034,1.07E+06,807584,33043.3,192126,308871,7353.97,61420.6,163215,3609.33,1898.86,132621,3649.79,1491.63,1105.78,51840.4,2958.42,272.193,14540
1998,M,1.36E+06,552981,860952,440185,746416,505419,21934.8,118686,190805,4542.91,37942.5,100826,2229.66,1173.02,81926.8,2254.65,921.451,683.095,32024.3,1827.56,9150.23
1999,M,8.86E+06,1.11E+06,426522,623000,261572,489984,297564,13328.4,72118,115941,2760.45,23055.4,61265.7,1354.83,712.771,49781.9,1370.02,559.91,415.076,19459.2,6670.54
2000,M,267609,7.26E+06,904925,311063,431029,161307,303777,180765,8096.81,43810.6,70432.2,1676.93,14005.8,37218,823.038,432.998,30241.8,832.264,340.137,252.152,15873.4
2001,M,839343,219218,5.92E+06,704641,215811,302240,107113,192737,114690,5137.17,27796.4,44686.9,1063.96,8886.21,23613.6,522.191,274.723,19187.4,528.044,215.806,10231.2
2002,M,35032.6,687703,179155,4.75E+06,526281,145808,210548,73303.1,131899,78488,3515.62,19022.5,30581.5,728.12,6081.28,16160,357.362,188.007,13130.9,361.367,7149.39
2003,M,1.20E+06,28705.3,562613,145126,3.71E+06,387535,102971,151290,52672.3,94777,56398,2526.17,13668.7,21974.5,523.195,4369.74,11611.8,256.784,135.093,9435.29,5396.9
2004,M,35416,981038,23309.4,442289,101411,2.74E+06,270665,71396.6,104899,36521.1,65715,39104.3,1751.56,9477.39,15236.3,362.764,3029.82,8051.23,178.045,93.6688,10284.1
2005,M,1.90E+06,29014.2,800650,18549.5,322913,60833.7,1.85E+06,177687,46870.5,68864.4,23975.4,43140.7,25671.3,1149.86,6221.73,10002.4,238.148,1989.02,5285.49,116.883,6812.82
2006,M,1.46E+06,1.55E+06,22972,611399,13453.6,209518,36240.7,1.15E+06,110382,29116.7,42779.7,14893.9,26799.7,15947.4,714.314,3865.04,6213.64,147.942,1235.61,3283.43,4304.85
2007,M,19753.9,1.19E+06,1.24E+06,16329.5,418887,8988.68,123568,21395.3,676668,65165.9,17189.6,25255.7,8792.89,15821.7,9414.84,421.708,2281.79,3668.33,87.3399,729.465,4479.87
2008,M,3.82E+06,16150.4,951182,885701,10892,259010,5367.45,68902.6,11930.2,377315,36337,9585.04,14082.8,4902.98,8822.28,5249.78,235.147,1272.35,2045.49,48.7014,2904.76
2009,M,1.01E+06,3.13E+06,13069.7,707187,598046,7503.34,156395,3099.8,39792.5,6889.89,217906,20985.3,5535.53,8133.06,2831.56,5095.02,3031.84,135.802,734.802,1181.31,1705.68
2010,M,1.07E+07,825715,2.50E+06,9853.64,435596,390603,5137.58,100852,1998.91,25660.3,4442.96,140517,13532.4,3569.6,5244.63,1825.94,3285.54,1955.09,87.5721,473.839,1861.68
2011,M,305195,8.75E+06,665243,1.67E+06,6790.31,262202,256834,3510.02,68902.5,1365.67,17531.3,3035.46,96002.4,9245.42,2438.77,3583.16,1247.49,2244.7,1335.73,59.8298,1595.64
2012,M,1.04E+06,249789,7.05E+06,509616,1.03E+06,4713.12,182867,182071,2488.28,48845.4,968.132,12428,2151.86,68056.6,6554.13,1728.86,2540.12,884.355,1591.28,946.907,1173.57
2013,M,279033,851689,203257,5.45E+06,379273,717500,3262.7,126466,125916,1720.83,33780.3,669.536,8594.91,1488.17,47066.3,4532.67,1195.64,1756.69,611.598,1100.49,1466.47
2014,M,5.92E+06,228500,688167,155804,4.09E+06,280985,508797,2207.8,85577,85204.6,1164.45,22858.4,453.06,5815.99,1007.01,31848.7,3067.16,809.061,1188.71,413.855,1737.01
2015,M,39812.9,4.85E+06,185531,540172,114698,3.06E+06,209466,366879,1591.98,61707.2,61438.7,839.651,16482.5,326.689,4193.74,726.128,22965.2,2211.64,583.391,857.146,1550.93
2016,M,4.09E+06,32425.9,3.73E+06,144246,404867,83526.2,2.23E+06,154101,269907,1171.19,45397,45199.4,617.718,12125.9,240.34,3085.27,534.201,16895.1,1627.07,429.192,1771.58
2017,M,1.64E+06,3.33E+06,25174.4,2.69E+06,103823,289156,56750.4,1.52E+06,105036,183971,798.294,30942.9,30808.3,421.041,8265.12,163.817,2102.94,364.115,11515.9,1109.02,1500.06
2018,M,495410,1.32E+06,2.59E+06,18676.5,1.95E+06,74133.2,196667,37160,994950,68777.5,120463,522.721,20261.3,20173.2,275.696,5411.98,107.267,1377,238.422,7540.55,1708.42
2019,M,668270,405519,1.02E+06,1.93E+06,13715.4,1.37E+06,51188.9,128316,24245.1,649156,44874,78596.5,341.05,13219.5,13162,179.878,3531.05,69.9866,898.425,155.558,6034.5
2020,M,3.84E+06,547518,331078,780069,1.37E+06,9906.07,908800,33055.8,82861.2,15656.5,419200,28977.9,50754.6,220.237,8536.65,8499.51,116.158,2280.22,45.1946,580.168,3997.3
2021,M,709666,3.15E+06,446723,267027,597862,911448,6756.39,589111,21427.7,53713,10149,271738,18784.3,32900.6,142.764,5533.71,5509.63,75.2972,1478.1,29.2964,2967.25
2022,M,700217,576685,2.46E+06,342165,193085,411118,554658,4097.6,357283,12995.4,32575.8,6155.15,164803,11392.3,19953.5,86.5831,3356.07,3341.47,45.6661,896.436,1817.34
2023,M,704062,568979,446688,1.80E+06,235176,124305,245750,313210,2313.87,201754,7338.39,18395.2,3475.75,93062.5,6433.09,11267.5,48.8926,1895.14,1886.89,25.7872,1532.44
2024,M,693917,571745,439140,325824,1.23E+06,149863,73231.6,136723,174255,1287.33,112246,4082.72,10234.2,1933.74,51775.4,3579.06,6268.7,27.2014,1054.36,1049.77,866.921
2025,M,671611,563098,439191,317447,218848,767013,86060.6,39546.7,73833.5,94101.4,695.185,60615.3,2204.76,5526.69,1044.26,27959.9,1932.77,3385.24,14.6894,569.379,1035.06